,id,text,annotations,meta,annotation_approver,Unnamed: 5,Unnamed: 6,Unnamed: 7,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7
0,888044,2 quà khuyến_mãi món đầu xe 3 bánh bọ sắt gắn 2 bánh_xe lèo xếp bệnh_viện ghi 60 món hét mấy miếng to quà khuyến_mãi như đánh_đố không tâm quà,"[{'label': 326, 'user': 15}]","{'review_id': 12794, 'comment': 'Lần thứ 2 nhận quà khuyến mãi thiếu món. Lần đầu cho xe 3 bánh con bọ thiếu cây sắt gắn 2 bánh xe phía sau. Lần này cho bộ lèo xếp bệnh viện ghi 60 món mà thiếu hét mấy miếng to. Quà khuyến mãi gì mà như đánh đố. Cho mà không có tâm gì hết', 'summary': 'Cho quà mà thiếu', 'annotations': {'23': ['dịch vụ -'], '29': ['dịch vụ -']}}",,,,,0,0,0,0,1,0,0
1,888043,mua để_dành bé chưa rụng,"[{'label': 315, 'user': 15}]","{'review_id': 13438, 'comment': 'Mình mua để dành mà giờ bé chưa rụng răng nữa :))...', 'summary': 'Hài lòng', 'annotations': {'19': ['other'], '30': ['trash']}}",,,,,0,0,0,0,0,0,0
3,888041,gói bỉm cũ bạc_màu loại mẫu_mã gói bỉm không hài_lòng,"[{'label': 322, 'user': 15}, {'label': 328, 'user': 15}]","{'review_id': 13670, 'comment': 'Gói bỉm rất cũ bạc màu và là loại mẫu mã từ rất lâu rồi. gói bỉm còn bị rách.', 'summary': 'Rất không hài lòng', 'annotations': {'19': ['an toàn -'], '30': ['dịch vụ -', 'chất lượng -']}}",,,,,0,0,0,1,0,1,0
5,888039,sai cung,"[{'label': 316, 'user': 15}]","{'review_id': 12673, 'comment': 'sai cung duoc', 'summary': 'Bình thường', 'annotations': {'23': ['typo'], '29': ['chất lượng +', 'typo']}}",,,,,0,0,0,0,0,0,1
6,888038,giao hàng dự_kiến hàng tốt hãng cám_ơn kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 323, 'user': 15}]","{'review_id': 14025, 'comment': 'giao hàng trước dự kiến. hàng tốt. chính hãng. cám ơn tiki', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chính hãng +', 'chất lượng +', 'ship +'], '19': ['chính hãng +', 'ship +']}}",,,,,1,0,1,1,0,0,0
7,888037,size m nhung hơi phút mua 1 kích_thước,"[{'label': 316, 'user': 15}]","{'review_id': 12743, 'comment': 'Size M nhung hơi nhỏ p mua lên 1 size .', 'summary': 'Hài lòng', 'annotations': {'23': ['typo'], '29': ['chất lượng -']}}",,,,,0,0,0,0,0,0,1
8,888036,sữa uống tốt chiều cân tiêu_hoá bé kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 14486, 'comment': 'Sữa cho con uống rất tốt, tăng cả chiều cao và cân nặng. Tiêu hoá cho bé cũng khá tốt', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['an toàn +', 'chất lượng +'], '29': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
9,888035,"giao hàng nhanh đúng loại như hình ( đc tặng 8m loại ) kích_thước s cân 4 - 8 kg bé 5,5 kg mặc rộng đai dán mềm_mại dính tốt không như loại bobby soft màu vàng kích_thước bé đai dán cứng chật bé hằn chẳng "" soft "" chỗ mặc_dù mua 2 loại kích_thước tốt giá mềm","[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 1498, 'comment': 'giao hàng nhanh, đúng loại như hình (đc tặng 8m cùng loại) size S phù hợp với số cân nặng từ 4-8 kg, bé nhà mình hơn 5,5kg mặc vẫn còn rộng, phần đai dán mềm mại, dính tốt. Không như loại Bobby soft màu vàng, size thì bé, đai dán thì vừa cứng vừa chật làm bé mình bị hằn hết lên, chẳng thấy ""soft"" ở chỗ nào, mặc dù mình mua 2 loại cùng là size S.', 'summary': 'Hàng tốt giá mềm', 'annotations': {'28': ['chính hãng +', 'ship +'], '17': ['chất lượng +', 'ship +', 'dịch vụ +'], '19': ['dịch vụ +', 'ship +'], '20': ['chất lượng +', 'ship +'], '25': ['chất lượng +', 'ship +']}}",,,,,1,0,0,1,0,0,0
10,888034,mua 2 r bé êm cáo kì hài_ll108òng,"[{'label': 325, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 13249, 'comment': 'mua lần thứ 2 r, bé xài rất êm, cáo bông dễ thương', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['trash'], '30': ['chất lượng +']}}",,,,,0,0,0,1,1,0,0
12,888032,sản_phẩm kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 1800, 'comment': 'Sản phẩm rất tốt\n\n❤️❤️❤️❤️❤️❤️❤️❤️❤️', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['other'], '17': ['other']}}",,,,,0,0,0,0,0,0,1
