,id,text,annotations,meta,annotation_approver,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7,aspect8,aspect9
0,891152,sản_phẩm tốt_đẹp keng tiếc không android 9 không sim chủ shop nhiệt_tình,"[{'label': 340, 'user': 15}, {'label': 344, 'user': 15}]","{'review_id': 1987, 'comment': 'Sản phẩm tốt , đẹp keng , tiếc là ko lên đc android 9 vì ko có sim softbank , chủ shop nhiệt tình.', 'annotations': {'26': ['dịch vụ +', 'mẫu mã +'], '24': ['mẫu mã +']}}",,0,1,0,0,0,0,1,0,0
1,891151,máy máy đẹp lắm tốt chưa trả_lời nhiệt ơn shop,"[{'label': 340, 'user': 15}, {'label': 344, 'user': 15}]","{'review_id': 544, 'comment': 'Nhận máy mình rất bất ngờ máy đẹp lắm ạ\nMới dùng thấy rất tốt về sau thì chưa biết\nShop trả lời rất nhiệt tình\nCảm ơn shop', 'annotations': {'18': ['mẫu mã +', 'dịch vụ +'], '22': ['dịch vụ +', 'mẫu mã +']}}",,0,1,0,0,0,0,1,0,0
2,891150,máy đẹp hàng đúng chuẩn shop uy_tín giao hàng nhanh chất_lượng đúng như quảng_bá giá_cả hợp_lý máy đẹp ứng_dụng chạy ổn_định chức_năng cơ_bản hoạt_động tốt màn_hình cảm_ứng nhạy màu_sắc rực_rỡ hài_lòng vừa_ý ủng_hộ shop đơn hàng,"[{'label': 334, 'user': 15}, {'label': 332, 'user': 15}, {'label': 344, 'user': 15}, {'label': 342, 'user': 15}, {'label': 346, 'user': 15}]","{'review_id': 684, 'comment': 'Máy đẹp quá, hàng đúng chuẩn luôn ,shop rất uy tín giao hàng nhanh chất lượng đúng như quảng bá, giá cả hợp lý, máy mới đẹp, các ứng dụng chạy ổn định, các chức năng cơ bản hoạt động rất tốt, màn hình cảm ứng nhạy, sáng, màu sắc rực rỡ, mình rất hài lòng vừa ý, sẽ ủng hộ shop thêm ở đơn hàng sao,,,', 'annotations': {'18': ['cấu hình +', 'hiệu năng +', 'giá +', 'mẫu mã +'], '22': ['hiệu năng +', 'mẫu mã +']}}",,1,1,1,1,1,0,0,0,0
3,891149,shop uy_tín máy lỗi khay sim shop đổi máy,"[{'label': 340, 'user': 15}]","{'review_id': 1429, 'comment': 'Shop rất uy tín. Máy bị lỗi khay sim, shop đã đổi lại máy khác.', 'annotations': {'26': ['dịch vụ +'], '24': ['other']}}",,0,0,0,0,0,0,1,0,0
4,891148,trừ 1 báo số_liệu pin chưa chính_xác nha shop tư_vấn nhiệt_tình,"[{'label': 340, 'user': 15}]","{'review_id': 1137, 'comment': 'Trừ 1 sao vì báo số liệu pin chưa chính xác nha. Shop tư vấn khá nhiệt tình', 'annotations': {'24': ['dịch vụ +'], '26': ['other']}}",,0,0,0,0,0,0,1,0,0
5,891147,máy tầm 90 % ngoại_hình áp oke ! máy đẹp ! thử tạm ổn ! tặng shop 5,"[{'label': 344, 'user': 15}]","{'review_id': 1042, 'comment': 'Máy tầm 90% về ngoại hình, áp ok ! Nói chung máy vẫn còn đẹp! Thử dùng vài ngày thì mọi thứ tạm ổn! Tặng shop 5 sao', 'annotations': {'24': ['mẫu mã +'], '26': ['mẫu mã +']}}",,0,1,0,0,0,0,0,0,0
6,891146,shop dễ_thương uy_tín hàng chất_lượng chuẩn test đúng hàng hãng chi tự_tin mua hàng shop 5 *,"[{'label': 338, 'user': 15}, {'label': 340, 'user': 15}]","{'review_id': 2735, 'comment': 'Shop dễ thương  uy tín, bán hàng chất lượng rất tốt,hàng chuẩn test qua đúng hàng chính hãng  anh chi em cứ tự tin mua hàng của shop,5*', 'annotations': {'16': ['chính hãng +', 'dịch vụ +'], '21': ['chính hãng +', 'dịch vụ +']}}",,0,0,0,0,0,1,1,0,0
7,891145,sản_phẩm shopee chất_lượng máy tốt hình_thức đẹp chức_năng hoạt_động ổn_định màn_hình màu_sắc rực_rỡ như mong_đợi tiên mua hàng shope đồng_tiền bát gạo giới_thiệu shope bạn_bè người_thân ủng_hộ 👍,"[{'label': 332, 'user': 15}, {'label': 344, 'user': 15}, {'label': 342, 'user': 15}, {'label': 346, 'user': 15}]","{'review_id': 600, 'comment': 'Thật bất ngờ, mình vừa nhận đc sản phẩm của Shopee, chất lượng máy rất tốt, hình thức đẹp, các chức năng hoạt động ổn định, màn hình sáng màu sắc rực rỡ như mong đợi, lần đâu tiên mình mua hàng trên Shopee thật đáng đồng tiền bát gạo, mình giới thiệu Shopee đến với bạn bè người thân để ủng hộ nhé,👍', 'annotations': {'18': ['cấu hình +', 'hiệu năng +', 'mẫu mã +'], '22': ['mẫu mã +']}}",,1,1,1,0,1,0,0,0,0
8,891144,màn xước góc_cạnh móp ipad 4 không đòi_hỏi : ),"[{'label': 345, 'user': 15}, {'label': 347, 'user': 15}]","{'review_id': 475, 'comment': 'Màn bị xước, góc cạnh thì móp, nói chung ipad 4 thì cũng k nên đòi hỏi quá nhiều :)', 'annotations': {'18': ['mẫu mã -', 'cấu hình -'], '22': ['mẫu mã -']}}",,1,1,0,0,0,0,0,0,0
9,891143,hàng đẹp đóng_gói cẩn_thận cài đủ ứng_dụng shop phục_vụ nhiệt_tình thắc_mắc tin_cậy ủng_hộ shop tiếp,"[{'label': 340, 'user': 15}, {'label': 344, 'user': 15}, {'label': 334, 'user': 15}]","{'review_id': 1626, 'comment': 'Hàng đẹp, đóng gói cẩn thận, đã cài đủ ứng dụng. Shop phục vụ nhiệt tình mọi thắc mắc của khách. Rất đáng tin cậy. Sẽ còn ủng hộ shop tiếp', 'annotations': {'26': ['dịch vụ +', 'mẫu mã +', 'ship +'], '24': ['dịch vụ +', 'ship +', 'mẫu mã +']}}",,0,1,0,1,0,0,1,0,0
