id,text,annotations,meta,annotation_approver,cấu hình,mẫu mã,hiệu năng,ship,giá,chính hãng,chất lượng,dịch vụ,an toàn,phụ kiện,other,typo
894220,mua đóng_gói cẩn_thận hình_ảnh t / c kiếm xu,"[{'label': 348, 'user': 15}, {'label': 353, 'user': 15}]","{'review_id': 1385, 'comment': 'Đã mua nhiều lần. Đóng gói lần nào cũng rất cẩn thận. Hình ảnh chỉ mang t/c kiếm xu.', 'annotations': {'25': ['dịch vụ +'], '23': ['typo', 'ship +']}}",,0,0,0,1,0,0,0,0,0,0,0,1
894219,shop đóng_gói cẩn_thận giao hàng nhanh bé uống hợp ủng_hộ,"[{'label': 353, 'user': 15}, {'label': 355, 'user': 15}]","{'review_id': 1080, 'comment': 'Shop đóng gói cẩn thận, giao hàng nhanh. Bé mình uống hợp. Sẽ ủng hộ thêm', 'annotations': {'25': ['chất lượng +', 'dịch vụ +', 'ship +'], '23': ['ship +']}}",,0,0,0,1,0,0,1,0,0,0,0,0
894218,giao hàng nhanh chắc_chắn sản_phẩm tốt ủng_hộ shop dài_dài,"[{'label': 353, 'user': 15}, {'label': 355, 'user': 15}]","{'review_id': 359, 'comment': 'giao hàng nhanh, chắc chắn, sản phẩm tốt, sẽ ủng hộ shop dài dài', 'annotations': {'28': ['chất lượng +', 'ship +'], '19': ['ship +']}}",,0,0,0,1,0,0,1,0,0,0,0,0
894217,shop giao hàng nhanh đóng cẩn_thận móp một hộp chưa không chất_lượng,"[{'label': 359, 'user': 15}, {'label': 353, 'user': 15}]","{'review_id': 1462, 'comment': 'Shop giao hàng khá nhanh đóng cẩn thận nhưng vẫn bị móp một hộp. Mình chưa dùng nên không đánh giá chất lượng', 'annotations': {'25': ['dịch vụ +', 'ship +'], '23': ['ship -']}}",,0,0,0,1,0,0,0,1,0,0,0,0
894216,hình_ảnh không shop giao hàng nhanh đóng_gói cẩn_thận mua shop,"[{'label': 353, 'user': 15}]","{'review_id': 568, 'comment': 'Hình ảnh không liên quan. Nhưng shop giao hàng nhanh. Đóng gói cẩn thận. Mình mua nhiều lần của shop rồi.', 'annotations': {'28': ['ship +'], '19': ['ship +']}}",,0,0,0,1,0,0,0,0,0,0,0,0
894215,mua nhieu làn lam roi ủng_ho,"[{'label': 349, 'user': 15}]","{'review_id': 1334, 'comment': 'Mua nhieu làn lam roi. Sẽ ủng ho tiep.\n\nÁnnjdjr\n\nSbhsjd\nBạndn\nBahhđm\nBajsnmd\nNạnkdkd\nBâjjdjmd\nMajdjfmf', 'annotations': {'25': ['typo'], '23': ['trash']}}",,0,0,0,0,0,0,0,0,0,0,0,0
894214,sữa bột hạn shop đóng_gói kỹ không móp méo balo chắc_chắn xịn sò mua,"[{'label': 348, 'user': 15}, {'label': 359, 'user': 15}, {'label': 361, 'user': 15}, {'label': 353, 'user': 15}]","{'review_id': 299, 'comment': 'Sữa bột date rất ra, shop đóng gói kỹ không móp méo gì. Balo rất chắc chắn xịn sò. Đáng mua.', 'annotations': {'19': ['typo', 'dịch vụ +', 'ship +', 'an toàn +'], '28': ['dịch vụ +', 'ship +', 'an toàn +']}}",,0,0,0,1,0,0,0,1,1,0,0,1
894213,shop flash sale giá tốt hộp giao nguyên_vẹn hạn 202 ưng_ý,"[{'label': 351, 'user': 15}, {'label': 361, 'user': 15}, {'label': 353, 'user': 15}]","{'review_id': 50, 'comment': 'Shop bán flash sale giá tốt quá, hộp giao nguyên vẹn, date 2022 ưng ý luôn', 'annotations': {'28': ['an toàn +', 'ship +', 'giá +'], '19': ['an toàn +', 'ship +', 'giá +']}}",,0,0,0,1,1,0,0,0,1,0,0,0
894212,khoe 🥰 trừ món tai heo : tai heo sả hành khô hạt_tiêu gia_vị gừng rượu gừng muối,"[{'label': 349, 'user': 15}]","{'review_id': 386, 'comment': 'Khoe các bác 🥰 --- MÓN TAI HEO CUỘN\n\n\n\n\n•\tChuẩn bị: tai heo, sả, hành khô, hạt tiêu, gia vị, gừng, rượu gừng, muối', 'annotations': {'28': ['trash'], '19': ['trash']}}",,0,0,0,0,0,0,0,0,0,0,0,0
894211,laz không phí ship giao hàng 1 shoppe phí giao hàng giao hàng hên chưa sữa mua dự_trữ sẵn trc đợi shop giao đói,"[{'label': 354, 'user': 15}]","{'review_id': 466, 'comment': 'Laz ko tính phí ship và giao hàng sau 1 ngày. Shoppe tính thêm phí giao hàng và giao hàng lâu. Hên là chưa hết sữa mua dự trữ sẵn trc. Chứ mà đợi shop giao chắc con đói.', 'annotations': {'28': ['ship -'], '19': ['ship -']}}",,0,0,0,1,0,0,0,0,0,0,0,0
