id,text,annotations,meta,annotation_approver,cấu hình,mẫu mã,hiệu năng,ship,giá,chính hãng,chất lượng,dịch vụ,an toàn,phụ kiện,other,typo
888044,2 quà khuyến_mãi món đầu xe 3 bánh bọ sắt gắn 2 bánh_xe lèo xếp bệnh_viện ghi 60 món hét mấy miếng to quà khuyến_mãi như đánh_đố không tâm quà,"[{'label': 326, 'user': 15}]","{'review_id': 12794, 'comment': 'Lần thứ 2 nhận quà khuyến mãi thiếu món. Lần đầu cho xe 3 bánh con bọ thiếu cây sắt gắn 2 bánh xe phía sau. Lần này cho bộ lèo xếp bệnh viện ghi 60 món mà thiếu hét mấy miếng to. Quà khuyến mãi gì mà như đánh đố. Cho mà không có tâm gì hết', 'summary': 'Cho quà mà thiếu', 'annotations': {'23': ['dịch vụ -'], '29': ['dịch vụ -']}}",,0,0,0,0,0,0,0,1,0,0,0,0
888043,mua để_dành bé chưa rụng,"[{'label': 315, 'user': 15}]","{'review_id': 13438, 'comment': 'Mình mua để dành mà giờ bé chưa rụng răng nữa :))...', 'summary': 'Hài lòng', 'annotations': {'19': ['other'], '30': ['trash']}}",,0,0,0,0,0,0,0,0,0,0,0,0
888042,tả thấm hút tốt k hâm giao hàng đóng hói cẩn_thận hài_lòng sản kì hài_lòng,"[{'label': 327, 'user': 15}, {'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 314, 'user': 15}]","{'review_id': 12781, 'comment': 'Tả xài rất thích, thấm hút tốt K bị hâm, giao hàng đóng hói cẩn thận rất hài lòng về sản phẩm', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['typo'], '29': ['ship +', 'chất lượng +']}}",,0,0,0,1,0,0,1,0,1,0,0,1
888041,gói bỉm cũ bạc_màu loại mẫu_mã gói bỉm không hài_lòng,"[{'label': 322, 'user': 15}, {'label': 328, 'user': 15}]","{'review_id': 13670, 'comment': 'Gói bỉm rất cũ bạc màu và là loại mẫu mã từ rất lâu rồi. gói bỉm còn bị rách.', 'summary': 'Rất không hài lòng', 'annotations': {'19': ['an toàn -'], '30': ['dịch vụ -', 'chất lượng -']}}",,0,0,0,0,0,0,1,0,1,0,0,0
888040,đóng_gói kỹ tả thấm hút tốt đai thun co_giãn chặc bé tả nãy tiết_kiệm huggies kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 314, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 12863, 'comment': 'đóng gói kỹ, tả thấm hút tốt, đai thun co giãn nhưng khá chặc, bé xài quá tả nãy tiết kiệm hơn huggies platinum cũng 3k/miếng', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['typo'], '29': ['an toàn -', 'dịch vụ +', 'chất lượng +']}}",,0,0,0,1,0,0,1,0,0,0,0,1
888039,sai cung,"[{'label': 316, 'user': 15}]","{'review_id': 12673, 'comment': 'sai cung duoc', 'summary': 'Bình thường', 'annotations': {'23': ['typo'], '29': ['chất lượng +', 'typo']}}",,0,0,0,0,0,0,0,0,0,0,1,0
888038,giao hàng dự_kiến hàng tốt hãng cám_ơn kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 323, 'user': 15}]","{'review_id': 14025, 'comment': 'giao hàng trước dự kiến. hàng tốt. chính hãng. cám ơn tiki', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chính hãng +', 'chất lượng +', 'ship +'], '19': ['chính hãng +', 'ship +']}}",,0,0,0,1,0,1,1,0,0,0,0,0
888037,size m nhung hơi phút mua 1 kích_thước,"[{'label': 316, 'user': 15}]","{'review_id': 12743, 'comment': 'Size M nhung hơi nhỏ p mua lên 1 size .', 'summary': 'Hài lòng', 'annotations': {'23': ['typo'], '29': ['chất lượng -']}}",,0,0,0,0,0,0,0,0,0,0,1,0
888036,sữa uống tốt chiều cân tiêu_hoá bé kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 14486, 'comment': 'Sữa cho con uống rất tốt, tăng cả chiều cao và cân nặng. Tiêu hoá cho bé cũng khá tốt', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['an toàn +', 'chất lượng +'], '29': ['chất lượng +']}}",,0,0,0,0,0,0,1,0,0,0,0,0
888035,"giao hàng nhanh đúng loại như hình ( đc tặng 8m loại ) kích_thước s cân 4 - 8 kg bé 5,5 kg mặc rộng đai dán mềm_mại dính tốt không như loại bobby soft màu vàng kích_thước bé đai dán cứng chật bé hằn chẳng "" soft "" chỗ mặc_dù mua 2 loại kích_thước tốt giá mềm","[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 1498, 'comment': 'giao hàng nhanh, đúng loại như hình (đc tặng 8m cùng loại) size S phù hợp với số cân nặng từ 4-8 kg, bé nhà mình hơn 5,5kg mặc vẫn còn rộng, phần đai dán mềm mại, dính tốt. Không như loại Bobby soft màu vàng, size thì bé, đai dán thì vừa cứng vừa chật làm bé mình bị hằn hết lên, chẳng thấy ""soft"" ở chỗ nào, mặc dù mình mua 2 loại cùng là size S.', 'summary': 'Hàng tốt giá mềm', 'annotations': {'28': ['chính hãng +', 'ship +'], '17': ['chất lượng +', 'ship +', 'dịch vụ +'], '19': ['dịch vụ +', 'ship +'], '20': ['chất lượng +', 'ship +'], '25': ['chất lượng +', 'ship +']}}",,0,0,0,1,0,0,1,0,0,0,0,0
888034,mua 2 r bé êm cáo kì hài_lòng,"[{'label': 325, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 13249, 'comment': 'mua lần thứ 2 r, bé xài rất êm, cáo bông dễ thương', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['trash'], '30': ['chất lượng +']}}",,0,0,0,0,0,0,1,1,0,0,0,0
888033,mua hàng tiki thất_vọng bao_bì sản_phẩm cũ xấu như hàng hạn sử_dụng_ý nhũn không như mua cửa không hài_lòng,"[{'label': 314, 'user': 15}, {'label': 322, 'user': 15}, {'label': 328, 'user': 15}]","{'review_id': 13676, 'comment': 'mua hàng lần đầu tiên trên tiki thất vọng bao bì sp cũ xấu như hàng hết hạn sd ý.mở ra bên trong sd cũng nhũn k thích như mọi lần mình mua ngoài cửa hàng...thất vọng', 'summary': 'Rất không hài lòng', 'annotations': {'19': ['an toàn -'], '30': ['dịch vụ -', 'an toàn -']}}",,0,0,0,0,0,0,1,0,1,0,0,1
888032,sản_phẩm kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 1800, 'comment': 'Sản phẩm rất tốt\n\n❤️❤️❤️❤️❤️❤️❤️❤️❤️', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['other'], '17': ['other']}}",,0,0,0,0,0,0,0,0,0,0,1,0
888031,bé 8 kí mặc vô lằn đỏ hai hông bỉm nhỏ_bé mặc không thoải hài_lòng,"[{'label': 322, 'user': 15}]","{'review_id': 13968, 'comment': 'bé nhà mình mới 8 kí mà mặc vô bị lằn đỏ hết hai bên hông, bỉm khá nhỏ bé mặc không thoải mái', 'summary': 'Không hài lòng', 'annotations': {'28': ['chất lượng -'], '19': ['chất lượng -']}}",,0,0,0,0,0,0,1,0,0,0,0,0
888030,ok tầm kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 13376, 'comment': 'OK trong tầm giá', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['other'], '30': ['giá +']}}",,0,0,0,0,0,0,0,0,0,0,1,0
888029,lô hàng ưu_điểm : hình bỉm ngộ_nghĩnh đa_dạng hứng_thú : thấm hút kém lô hàng tràng,"[{'label': 314, 'user': 15}, {'label': 322, 'user': 15}]","{'review_id': 1459, 'comment': 'Lô hàng lần này có ưu điểm: các hình trên bỉm ngộ nghĩnh thay đổi đa dạng tạo nên sự hứng thú cho bé.\nNhược điểm: thấm hút kém hơn lô hàng trước, dễ tràng bỉm', 'summary': 'Bình thường', 'annotations': {'28': ['chất lượng -', 'other'], '17': ['chất lượng -'], '20': ['trash', 'chất lượng -'], '25': ['chất lượng -', 'dịch vụ +']}}",,0,0,0,0,0,0,1,0,0,0,0,1
888028,mặc hơi bí chat luong thi kì hài_lòng,"[{'label': 328, 'user': 15}, {'label': 321, 'user': 15}, {'label': 314, 'user': 15}]","{'review_id': 14224, 'comment': 'Mặc hơi bí chat luong thi ok', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['typo', 'chất lượng +', 'an toàn -'], '19': ['typo', 'chất lượng +']}}",,0,0,0,0,0,0,1,0,1,0,0,1
888027,hài_lòng kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 1165, 'comment': 'rất hài lòng 🤪', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['other'], '17': ['other']}}",,0,0,0,0,0,0,0,0,0,0,1,0
888026,oke shop se_ung ho,"[{'label': 321, 'user': 15}, {'label': 314, 'user': 15}]","{'review_id': 14417, 'comment': 'Dùng rất ok cảm ơn shop .se ung ho tiep', 'summary': 'Hài lòng', 'annotations': {'28': ['typo', 'chất lượng +'], '29': ['chất lượng +']}}",,0,0,0,0,0,0,1,0,0,0,0,1
888025,đóng_gói cẩn_thận hàng kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 334, 'comment': 'đóng gói cẩn thận, hàng tốt!', 'summary': 'Cực kì hài lòng', 'annotations': {'20': ['ship +'], '25': ['chất lượng +', 'dịch vụ +']}}",,0,0,0,1,0,0,1,0,0,0,0,0
888024,59k co balo đẹp hú kì hài_lòng,"[{'label': 315, 'user': 15}]","{'review_id': 13510, 'comment': 'chỉ 59k là co ngay balo đẹp hú hôn', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['trash'], '30': ['chất lượng +', 'giá +']}}",,0,0,0,0,0,0,0,0,0,0,0,0
888023,tã mỏng tã mua mùi thơm hơi tã mua không mùi cảm_giác tã mua an_toàn dễ_chịu tã,"[{'label': 322, 'user': 15}]","{'review_id': 1149, 'comment': 'Tã mỏng hơn tã mình mua bên ngoài, có mùi thơm nhưng hơi nặng trong khi tã mua bên ngoài không có mùi, cảm giác sử dụng tã mua bên ngoài an toàn và dễ chịu hơn khi dùng tã trên Tiki.', 'summary': 'Hài lòng', 'annotations': {'28': ['an toàn -', 'chất lượng -'], '17': ['chất lượng -'], '20': ['trash', 'an toàn -', 'chất lượng +', 'chất lượng -'], '25': ['chất lượng -', 'chất lượng +'], '19': ['an toàn -', 'chất lượng +']}}",,0,0,0,0,0,0,1,0,0,0,0,0
