id,text,annotations,meta,annotation_approver,cấu hình,mẫu mã,hiệu năng,ship,giá,chính hãng,chất lượng,dịch vụ,an toàn,phụ kiện,other,typo
885213,ổn tầm giá màn_hình loa trung_bình không chụp hình chân_dung siêu ảo không ưng lắm giá rẻ không đòi,"[{'label': 303, 'user': 15}, {'label': 298, 'user': 15}, {'label': 313, 'user': 15}]","{'review_id': 1894, 'comment': 'Cũng ổn trong tầm giá. Màn hình, loa trung bình, không hay. Chụp hình chân dung siêu ảo, không ưng lắm. Nói chung giá rẻ thì không đòi hỏi', 'summary': 'Bình thường', 'annotations': {'18': ['giá +', 'cấu hình -'], '22': ['phụ kiện -', 'giá +']}}",,1,0,0,0,1,0,0,0,0,1,0,0
885212,hàng máy ổn giá tiki giúp kích_hoạt như giúp m kì hài_lòng,"[{'label': 298, 'user': 15}]","{'review_id': 24118, 'comment': 'mình đã nhận đc hàng, máy ổn so với giá, tiki giúp kích hoạt như giúp m nhé', 'summary': 'Cực kì hài lòng', 'annotations': {'22': ['giá +']}}",,0,0,0,0,1,0,0,0,0,0,0,0
885211,oke máy kì hài_lòng,"[{'label': 297, 'user': 15}]","{'review_id': 22226, 'comment': 'ok máy chuẩn', 'summary': 'Cực kì hài lòng', 'annotations': {'18': ['other']}}",,0,0,0,0,0,0,0,0,0,0,1,0
885210,sản_phẩm lỗi tai_nghe pubg,"[{'label': 295, 'user': 15}]","{'review_id': 22092, 'comment': 'sp mới ra vẫn con bị lỗi tai nghe khi chơi pubg còn đâu ok', 'summary': 'Hài lòng', 'annotations': {'18': ['typo']}}",,0,0,0,0,0,0,0,0,0,0,0,1
885209,hài_lòng sản_phẩm màn_hình đẹp mượt pin nhanh kì hài_lòng,"[{'label': 308, 'user': 15}, {'label': 313, 'user': 15}, {'label': 312, 'user': 15}]","{'review_id': 2037, 'comment': 'Hài lòng với sp này, màn hình đẹp, mượt, có điều pin xuống nhanh quá', 'summary': 'Cực kì hài lòng', 'annotations': {'18': ['cấu hình -', 'hiệu năng +'], '24': ['cấu hình +']}}",,1,0,1,0,0,0,0,0,0,0,0,0
885208,mua máy 5 / 2 8 / 2 hàng khoản giao hàng nhanh_chóng kindle ổn tra từ_điển không mua sách amazon cổng sạc đầu cắm samsung tiện sạc kindle bao da đẹp cộng lớn pin chế_độ máy_bay chế_độ kết_nối không cần_thiết lắm đa_phần tải sách máy kindle hài_lòng,"[{'label': 300, 'user': 15}, {'label': 302, 'user': 15}]","{'review_id': 24191, 'comment': 'Mình đặt mua máy từ ngày 5/2, mà mới đến 8/2 là có hàng rồi, thật sự thích khoản giao hàng nhanh chóng này. Kindle dùng ổn, có thể tra từ điển dù không mua sách trên Amazon. Cổng sạc cũng là đầu cắm Samsung nên rất tiện mỗi khi mình muốn sạc Kindle. Bao da đẹp là điểm cộng lớn nữa. \nThêm nữa, nếu muốn dùng lâu hết pin thì các bạn có thể để chế độ máy bay á. Mình cảm thấy để chế độ kết nối internet cũng không cần thiết lắm, vì đa phần mình tải sách về máy trước rồi mới chuyển sang Kindle. Nói chung rất hài lòng nè.', 'summary': 'Chất lượng', 'annotations': {'22': ['phụ kiện +', 'ship +']}}",,0,0,0,1,0,0,0,0,0,1,0,0
885207,2 tuần ổn kì hài_lòng,"[{'label': 297, 'user': 15}, {'label': 296, 'user': 15}]","{'review_id': 23717, 'comment': 'đã dùng được 2 tuần, thấy vẫn ổn ạ', 'summary': 'Cực kì hài lòng', 'annotations': {'24': ['other'], '22': ['trash']}}",,0,0,0,0,0,0,0,0,0,0,1,0
885206,hop đựng lớn chèn lót không kỹ,"[{'label': 295, 'user': 15}]","{'review_id': 22174, 'comment': 'Hop đựng khá lớn chèn lót không kỹ lắm.', 'summary': 'Hài lòng', 'annotations': {'18': ['typo']}}",,0,0,0,0,0,0,0,0,0,0,0,1
885205,sạc không nhanh như quảng_cáo mất 2h30 sạc xong hy_vọng sửa nội_dung sạc nhanh thành sạc hàng,"[{'label': 297, 'user': 15}, {'label': 313, 'user': 15}]","{'review_id': 2528, 'comment': 'Sạc không nhanh như quảng cáo mất 2h30 sạc xong. Hy vọng sửa lại nội dung sạc nhanh thành sạc thường.', 'summary': 'Đã nhận hàng', 'annotations': {'18': ['other'], '24': ['cấu hình -']}}",,1,0,0,0,0,0,0,0,0,0,1,0
885204,giao nhanh sản_phẩm đẹp nguyên kì hài_lòng,"[{'label': 300, 'user': 15}, {'label': 310, 'user': 15}]","{'review_id': 22972, 'comment': 'Giao nhanh sản phẩm đẹp nguyên tem', 'summary': 'Cực kì hài lòng', 'annotations': {'21': ['mẫu mã +', 'ship +']}}",,0,1,0,1,0,0,0,0,0,0,0,0
